S No,School Name,Establishment,Region,Pre-primary section (Y/N),Classes,medium of instructions,Management,Cluster
1,Anad Vid Hol,1978,Rural,No,5 to 12,Marathi,Pvt.Aided,Athphata
2,Anand Eng Med Public school,2013,Rural,Yes,1 to 3,English,Pvt.Unaided,Athphata
3,Anandnagar,2005,Rural,No,1 to 4,Marathi,Local Body,Athphata
4,New English School Pandharwasti,1989,Rural,No,5 to 10,Marathi,Pvt.Aided,Athphata
5,Zpps Aathphata,1948,Rural,No,1 to 4,Marathi,Local Body,Athphata
6,Zpps Chopanvasti(wak)i,2001,Rural,No,1 to 4,Marathi,Local Body,Athphata
7,Zpps Chopdaj,1913,Rural,No,1 to 4,Marathi,Local Body,Athphata
8,Zpps Hol,1919,Rural,No,1 to 4,Marathi,Local Body,Athphata
9,Zpps Kanadwadi,1960,Rural,No,1 to 4,Marathi,Local Body,Athphata
10,Zpps Karanemal(sadobachiwadi,2010,Rural,No,1 to 4,Marathi,Local Body,Athphata
11,Zpps Nirgudwadi,1989,Rural,No,1 to 4,Marathi,Local Body,Athphata
12,Zpps Pandharvasti(Chopdaj),2008,Rural,No,1 to 4,Marathi,Local Body,Athphata
13,Zpps Parnkuti(Chopdaj),2010,Rural,No ,1 to 4,Marathi,Local Body,Athphata
14,Zpps Sadobachiwadi,1920,Rural,No ,1 to 4,Marathi,Local Body,Athphata
15,Zpps Sastewadi,1990,Rural,No,1 to 4,Marathi,Local Body,Athphata
16,Zpps Sastewadi,1962,Rural,No,1 to 4,Marathi,Local Body,Athphata
17,Zpps Wayalpatta,1997,Rural,No,1 to 5,Marathi,Local Body,Athphata
18,Anekant English Medium School,2012,Urban,Yes,1 to 4,English,Pvt.Unaided,Baramati N.p.
19,Bal Vikas Mandir Kasba Baramati,2003,Urban,No,1 to 4,Marathi,Pvt.Unaided,Baramati N.p.
20,Balkalyan Kendra Matimanda Mulanchi Shala,1987,Urban,No,1 to 4,Marathi,Pvt. Aided,Baramati N.p.
21,Balkalyan Kendra Mukbadhir Mulanchi Nivasi Shala,1996,Urban,Yes,1 to 8,Marathi,Pvt.UnAided,Baramati N.p.
22,"BalkalyanKendra,Kasba,primary",1996,Urban,Yes,1 to 4,Marathi,Pvt.Aided,Baramati N.p.
23,Baramati Nagar Parishad No.1,1915,Urban,No,1 to 7,Marathi,Local Body,Baramati N.p.
24,Baramati Nagar Parishad No.2,1979,Urban,No,1 to 7,Marathi,Local Body,Baramati N.p.
25,Baramati Nagar Parishad No.3,1979,Urban,No,1 to 7,Marathi,Local Body,Baramati N.p.
26,Baramati Nagar Parishad No. 4,1914,Urban,No,1 to 7,Urdu,Local Body,Baramati N.p.
27,Baramati Nagar Parishad No.5,1979,Urban,No,1 to 7,Marathi,Local Body,Baramati N.p.
28,Baramati Nagar Parishad No. 6,1979,Urban,No,1 to 7,Marathi,Local Body,Baramati N.p.
29,Baramati Nagar Parishad No.7,1979,Urban,No,1 to 7,Marathi,Local Body,Baramati N.p.
30,Baramati Nagar Parishad No. 8,1979,Urban,No,1 to 7,Marathi,Local Body,Baramati N.p.
31,BharatRatna Dr.Abdul Azad Pratishthan Eng Med School,2014,Urban,Yes,1 to 2,English,Pvt.Unaided,Baramati N.p.
32,D.a.sataw Vidhylaya Kasba Baramati,1994,Urban,No,5 to 10,Marathi ,Pvt. Aided,Baramati N.p.
33,Janhit's Prtishtan's Secondary  School Baramati,2003,Urban,No,8 to 11,Marathi,Pvt. Unaided,Baramati N.p.
34,Janhit Prtishtan Primary&mad.school,2003,Urban,No,1 to 7,Marathi,Pvt. Unaided,Baramati N.p.
35,K.a.c.f. English Medium,2013,Urban,Yes,1 to 2,English,Pvt.Unaided,Baramati N.p.
36,Kavi Moropant Shikshan Sanstha Vidyamandir Baramati,1980,Urban,Yes,1 to 7,Marathi,Pvt. Aided,Baramati N.p.
37,MES Sou Nirmala Haribhau Deshpande Prathmik School,1986,Rural,Yes,1 to 4,Marathi,Pvt.Aided,Baramati N.p.
38,M.e.s English Medium School Baramati,2013,Rural,Yes,1 to 2,English,Pvt. Unaided,Baramati N.p.
39,M.e.s Late Gajananarao Bhivrao Deshpande HighSchool,1911,Urban,No,5 to 12,Marathi,Pvt.Aided,Baramati N.p.
40,Mahatma Gandhi Balak Mandir,1955,Urban,Yes,1 to 4,Marathi,Pvt.Aided,Baramati N.p.
41,Mata Ramabai Ambedkar Girls,1958,Urban,No,1 to 4,Marathi,Pvt.Aided,Baramati N.p.
42,Mission HighSchool  Baramati,1956,Urban,No,5 to 10,Marathi,Pvt. Aided,Baramati N.p.
43,Radhesham n Agarwal,1968,Urban,No,5 to 12,Marathi,Pvt.Aided,Baramati N.p.
44,Rosemery Weston English Medium School,2000,Urban,No,1 to 8,English,Pvt.Unaided,Baramati N.p.
45,Shardaniketan English Med school,2003,Urban,Yes,1 to 7,English,Pvt.Unaided,Baramati N.p.
46,Shri Chatrapati shahu HighSchool Baramati,1954,Rural,No,5 to 12,Marathi,Pvt.Aided,Baramati N.p.
47,Tuljaram Chaturchand college ,1962,Rural,No,11 to 12,Marathi,Pvt.Aided,Baramati N.p.
48,Urdu madyamik vidyalay,2000,Urban,No,8 to 10,Urdu,Pvt.Aided,Baramati N.p.
